report_id,report_year,place_id,standard_name,matched_variants,category,term,window_words,cooccurrence_count
b19883699,1897,P004,Commercial Road,commercial road,sanitary,sanitary,50,3
b19883699,1897,P004,Commercial Road,commercial road,governance,board,50,2
b19883699,1897,P006,Wentworth Street,wentworth street,sanitary,drain,50,1
b19883699,1897,P006,Wentworth Street,wentworth street,sanitary,dirty,50,1
b19883699,1897,P006,Wentworth Street,wentworth street,sanitary,water supply,50,2
b19883699,1897,P006,Wentworth Street,wentworth street,housing,dwellings,50,1
b19883699,1897,P006,Wentworth Street,wentworth street,housing,houses,50,2
b19883699,1897,P006,Wentworth Street,wentworth street,housing,rooms,50,1
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,fever,50,6
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,scarlet fever,50,1
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,typhus,50,1
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,typhoid,50,1
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,measles,50,1
b19883699,1897,P007,Flower and Dean Street,flower and dean street,disease,diphtheria,50,1
b19883699,1897,P008,Dorset Street,dorset street,housing,houses,50,2
b19883699,1897,P009,Hanbury Street,hanbury street,housing,houses,50,4
b19883699,1897,P010,Leman Street,leman street,sanitary,nuisance,50,1
b19883699,1897,P010,Leman Street,leman street,sanitary,dirty,50,1
b19883699,1897,P010,Leman Street,leman street,housing,houses,50,1
b19883699,1897,P010,Leman Street,leman street,governance,medical officer,50,2
b19883699,1897,P012,Spitalfields,spitalfields,disease,fever,50,13
b19883699,1897,P012,Spitalfields,spitalfields,disease,scarlet fever,50,2
